,QuollRun,Cycle,Duration,Plag,Flag,Hlag,DF,DFH,DFF,Speed,Gait,sdh,sdf,PlagM,FlagM,HlagM,GaitM,surf,cali,SpC,GaitCY,GaitCYM
196,Qu7_f7_polexypts.csv,1,26.5,0.452830189,0.094339623,0.037735849,0.501373626,0.445054945,0.557692308,3020.228968,Half Bound,315.1448227,305.7163104,0.452830189,0,0.037735849,Bound,pole,1.380291736,2188.109143,Bound,Bound
197,Qu7_f7_polexypts.csv,2,28.5,0.421052632,0.157894737,-0.035087719,0.555649192,0.547720798,0.563577586,2657.875038,Rotary Gallop,305.234503,295.1185189,0.421052632,0.052631579,-0.052631579,Rotary Gallop,pole,1.380291736,1925.589329,Half Bound,Bound
198,Qu7_f8_polexypts.csv,1,35.25,0.312056738,0.141843972,0.028368794,0.522457326,0.548423423,0.496491228,2713.700922,Half Bound,314.8435734,325.9095335,0.411347518,0.056737589,0.056737589,Transverse Gallop,pole,1.380291736,1966.034318,Half Bound,Bound
199,Qu7_f8_polexypts.csv,2,30.75,0.552845528,0.097560976,0,0.560752688,0.524731183,0.596774194,2338.149754,Half Bound,277.6176992,276.1324952,0.504065041,0.081300813,0,Half Bound,pole,1.380291736,1693.953309,Bound,Bound
200,Qu7_f9_polexypts.csv,1,28.5,0.596491228,0.070175439,0.070175439,0.51694262,0.507407407,0.526477833,2917.01368,Transverse Gallop,303.2356038,302.3261052,0.561403509,0.070175439,0.01754386,Half Bound,pole,1.380291736,2113.331265,Bound,Bound
201,Qu7_f9_polexypts.csv,2,30.5,0.524590164,0.098360656,-0.032786885,0.492179863,0.491935484,0.492424242,2768.146752,Rotary Gallop,342.0388745,349.5567979,0.508196721,0.081967213,-0.016393443,Rotary Gallop,pole,1.380291736,2005.47948,Bound,Bound
202,Qu8_f1_polexypts.csv,1,78.5,0.560509554,0.076433121,0,0.58773027,0.651442308,0.524018233,1060.214645,Half Bound,353.7572348,367.8756011,0.566878981,0.006369427,0.025477707,Bound,pole,1.380291736,768.1091013,Bound,Bound
203,Qu8_f1_polexypts.csv,2,49.25,0.324873096,0.101522843,-0.020304569,0.427497153,0.430851064,0.424143242,2025.93962,Rotary Gallop,397.0830496,391.7977914,0.375634518,0.050761421,0.050761421,Transverse Gallop,pole,1.380291736,1467.761899,Half Bound,Bound
204,Qu8_f2_polexypts.csv,1,31.5,0.444444444,0.126984127,0.095238095,0.571476716,0.576286765,0.566666667,2565.947675,Transverse Gallop,286.5468313,296.818919,0.476190476,0.126984127,0.095238095,Transverse Gallop,pole,1.380291736,1858.989378,Half Bound,Half Bound
205,Qu8_f2_polexypts.csv,2,39.5,0.405063291,0.101265823,0.025316456,0.495366142,0.476973684,0.513758599,2303.58903,Half Bound,333.5697193,328.1567779,0.443037975,0.063291139,0.113924051,Transverse Gallop,pole,1.380291736,1668.9146,Half Bound,NA
206,Qu8_f3_polexypts.csv,1,37.25,0.536912752,0.161073826,0.026845638,0.490231165,0.507142857,0.473319473,2868.617857,Half Bound,412.2578279,430.1957113,0.523489933,0.134228188,0.013422819,Half Bound,pole,1.380291736,2078.26924,Half Bound,Half Bound
207,Qu8_f3_polexypts.csv,2,31.5,0.507936508,0.126984127,-0.063492063,0.46593702,0.441397849,0.49047619,3190.53146,Rotary Gallop,407.4145135,408.0135282,0.476190476,0.063492063,0.015873016,Half Bound,pole,1.380291736,2311.490663,Half Bound,Bound
208,Qu8_f4_polexypts.csv,1,30.5,0.491803279,0.06557377,0,0.558728448,0.558728448,0.558728448,2918.12193,Half Bound,320.3437885,322.552163,0.491803279,0.06557377,0,Half Bound,pole,1.380291736,2114.134174,Bound,Bound
209,Qu8_f4_polexypts.csv,2,35.5,0.507042254,0.14084507,0.084507042,0.534830774,0.533119658,0.536541889,2545.842259,Transverse Gallop,360.0452698,322.394524,0.492957746,0.084507042,0.056338028,Transverse Gallop,pole,1.380291736,1844.423315,Half Bound,Bound
210,Qu8_f5_polexypts.csv,1,39.5,0.481012658,0.025316456,-0.075949367,0.644753711,0.626495726,0.663011696,1617.969866,Bound,237.8417025,245.7092372,0.569620253,0.012658228,0.037974684,Bound,pole,1.380291736,1172.194126,Bound,Bound
211,Qu8_f5_polexypts.csv,2,47,0.553191489,0.063829787,0.063829787,0.579928444,0.581395349,0.578461538,1852.969828,Transverse Gallop,362.1153838,353.959667,0.5,0.074468085,0.063829787,Transverse Gallop,pole,1.380291736,1342.447962,Bound,Bound
212,Qu8_f7_polexypts.csv,1,44,0.409090909,0.227272727,0.022727273,0.530631963,0.604347826,0.4569161,2200.651617,Half Bound,380.9841895,362.4009436,0.465909091,0.147727273,0.034090909,Half Bound,pole,1.380291736,1594.338037,Half Bound,Half Bound
213,Qu8_f8_polexypts.csv,1,33.75,0.325925926,0.237037037,0,0.567857143,0.642857143,0.492857143,2206.144591,Half Bound,274.6015535,298.9762786,0.42962963,0.207407407,-0.014814815,Rotary Gallop,pole,1.380291736,1598.317612,Half Bound,Half Bound
214,Qu8_f8_polexypts.csv,2,46.75,0.342245989,0.064171123,0,0.549842094,0.583586626,0.516097561,1978.086429,Half Bound,339.87083,330.2233333,0.417112299,0.010695187,0,Bound,pole,1.380291736,1433.093003,Bound,Bound
215,Qu8_f8_polexypts.csv,3,44.75,0.536312849,0.134078212,0.044692737,0.542903477,0.580487805,0.505319149,2022.377168,Half Bound,364.8598299,367.5373003,0.536312849,0.145251397,0,Half Bound,pole,1.380291736,1465.180958,Half Bound,Half Bound
216,anggum_ff1_flatxypts.csv,1,51.75,0.425120773,0.22705314,0,0.470690709,0.472083173,0.469298246,1257.346129,Half Bound,256.4818257,263.7940566,0.405797101,0.236714976,-0.019323671,Rotary Gallop,flat,1.011640252,1242.878707,Half Bound,Half Bound
217,anggum_ff1_flatxypts.csv,2,56.5,0.318584071,0.451327434,0.07079646,0.44646164,0.439880952,0.453042328,1179.69826,Transverse Gallop,244.8424901,231.282868,0.371681416,0.362831858,0.079646018,Transverse Gallop,flat,1.011640252,1166.124279,Half Bound,Half Bound
218,anggum_ff2_flatxypts.csv,1,48.75,0.205128205,0.143589744,-0.082051282,0.373639164,0.412398922,0.334879406,1822.149703,Rotary Gallop,402.1535766,364.7585337,0.256410256,0.153846154,-0.082051282,Rotary Gallop,flat,1.011640252,1801.183474,Half Bound,Half Bound
219,anggum_ff2_flatxypts.csv,2,41.25,0.460606061,0.048484848,0,0.400054113,0.397727273,0.402380952,2031.563584,Bound,296.2370921,312.5345282,0.496969697,0.012121212,-0.012121212,Bound,flat,1.011640252,2008.187772,Bound,Bound
220,anggum_ff2_flatxypts.csv,3,49.5,0.565656566,0.101010101,0,0.404773193,0.325344612,0.484201774,1348.196207,Half Bound,206.7692908,229.5236524,0.696969697,0.131313131,0.272727273,Transverse Gallop,flat,1.011640252,1332.683436,Half Bound,Gallop
221,atticus_ff1_flatxypts.csv,1,58.25,0.412017167,0.278969957,0.103004292,0.418809797,0.441666667,0.395952928,1382.645188,Transverse Gallop,343.3322236,343.449534,0.386266094,0.321888412,0.068669528,Transverse Gallop,flat,1.011640252,1366.736036,Gallop,Half Bound
222,atticus_ff1_flatxypts.csv,2,57.75,0.294372294,0.467532468,0.207792208,0.470461703,0.429863148,0.511060259,1299.258053,Transverse Gallop,283.7149268,231.154651,0.346320346,0.454545455,0.216450216,Transverse Gallop,flat,1.011640252,1284.30838,Gallop,Gallop
223,atticus_ff1_flatxypts.csv,3,81,0.456790123,0.469135802,0.197530864,0.456790123,NA,0.456790123,504.8689411,Transverse Gallop,NA,221.6713373,0.851851852,0.327160494,0.432098765,Transverse Gallop,flat,1.011640252,499.0597597,Gallop,Gallop
224,atticus_ff2_flatxypts.csv,1,44.25,0.248587571,0.412429379,-0.04519774,0.409201965,0.480440967,0.337962963,1641.874494,Rotary Gallop,206.3357122,329.0713286,0.282485876,0.344632768,-0.06779661,Rotary Gallop,flat,1.011640252,1622.982568,Half Bound,Half Bound
225,atticus_ff2_flatxypts.csv,2,59.75,0.083682008,0.334728033,-0.016736402,0.449454579,0.349497126,0.549412031,1062.887578,Rotary Gallop,249.1405414,240.8343372,0.209205021,0.410041841,-0.041841004,Rotary Gallop,flat,1.011640252,1050.657658,Half Bound,Half Bound
